name,price,conf,percent,publish_time
BNB,58765178341,59182268,0.0010070975647615622,1722213160
ARB,72174812,73921,0.0010241938697394875,1722213160
CAKE,195949560,246653,0.0012587576108872098,1722213160
SOL,18779953301,15071449,0.0008025285664154166,1722213160
XRP,60208787,56774,0.0009429520644553095,1722213160
ADA,41322190,43716,0.0010579303759069884,1722213160
AAVE,10033756350,9773696,0.0009740814565424444,1722213160
INJ,2475494061,2941815,0.001188374897094936,1722213160
LINK,1354720000,1524069,0.0011250066434392346,1722213160
BTC,6878075936999,3184464662,0.0004629877150483201,1722213161
ETH,329149493309,155787728,0.0004733038669871173,1722213161
BNB,58765002500,50069627,0.0008520313940257214,1722213161
ARB,72184644,77184,0.00106925788814585,1722213161
CAKE,195950000,254729,0.0012999693799438633,1722213161
SOL,18781510854,14429146,0.0007682633262130212,1722213161
XRP,60209221,56446,0.0009374975969212424,1722213161
ADA,41322736,44262,0.0010711294624828327,1722213161
AAVE,10034323718,7557640,0.0007531788102911989,1722213161
INJ,2476041711,2999787,0.0012115252286232588,1722213161
LINK,1354790006,1737853,0.0012827471359424835,1722213161
BTC,6878095000000,3325008700,0.0004834200021953753,1722213162
ETH,329150212697,157047597,0.0004771304739959884,1722213162
BNB,58764803428,59618393,0.0010145255241608326,1722213162
ARB,72186000,71391,0.0009889867841409692,1722213162
CAKE,195950122,258497,0.001319197953854808,1722213162
SOL,18783752294,17542539,0.000933920908103304,1722213162
XRP,60207337,54202,0.0009002557279688355,1722213162
ADA,41322737,43902,0.0010624175257316572,1722213162
AAVE,10034323718,8657371,0.0008627757329046537,1722213162
INJ,2475975875,2487731,0.0010047476734804616,1722213162
LINK,1354760006,1707853,0.001260631397765074,1722213162
BTC,6878075936999,3344069201,0.0004861925386736954,1722213163
ETH,329150041452,141056229,0.00042854689726833973,1722213163
BNB,58764766516,51831633,0.000882018870710355,1722213163
ARB,72174646,76556,0.0010607048907451517,1722213163
CAKE,195949829,263121,0.0013427978036153327,1722213163
SOL,18784275720,15820307,0.0008422101142369731,1722213163
XRP,60206829,60505,0.0010049524448464144,1722213163
ADA,41324169,42132,0.0010195486326657894,1722213163
AAVE,10034559476,8470120,0.0008440948524206047,1722213163
INJ,2475651476,2812130,0.0011359151428470297,1722213163
LINK,1354780000,1727847,0.001275370908929863,1722213163
BTC,6878094827020,3477619143,0.0005056079089428186,1722213164
ETH,329149436402,128522583,0.0003904687925487788,1722213164
BNB,58764827996,51893113,0.0008830641519708397,1722213164
ARB,72174646,76556,0.0010607048907451517,1722213164
CAKE,195950000,262950,0.001341923960193927,1722213164
SOL,18783754400,15298987,0.0008144797187084175,1722213164
XRP,60206829,60505,0.0010049524448464144,1722213164
ADA,41324169,42132,0.0010195486326657894,1722213164
AAVE,10034457395,8572201,0.0008542764857690644,1722213164
INJ,2475495621,2967985,0.0011989457686057447,1722213164
LINK,1354780000,1727847,0.001275370908929863,1722213164
BTC,6877922949007,3291994068,0.0004786320074253349,1722213165
ETH,329147784719,126870900,0.00038545269295466234,1722213165
BNB,58764681141,56287327,0.0009578428046762334,1722213165
ARB,72174812,72347,0.001002385707634403,1722213165
CAKE,195950000,262950,0.001341923960193927,1722213165
SOL,18782263428,14762922,0.0007860033513315496,1722213165
XRP,60205000,54000,0.000896935470475874,1722213165
ADA,41323620,44338,0.0010729456906243935,1722213165
